name;timecreated;timemodified
Betriebswirtschaftslehre;1614831116;1614831116
Volkswirtschaftslehre;1614831125;1614831125
Wirtschaftsinformatik;1614831161;1614831161
Politik und Wirtschaft;1614831555;1614831555
Politik und Recht;1614831837;1614831837
Wirtschaft und Recht;1614831867;1614831867
Ökonomik;1614833159;1614833159
Information Systems (Master);1614833174;1614833174
Economics (Master);1614833185;1614833185
Betriebswirtschaftslehre (Master);1614833200;1614833200
