name;description;position;achievement;timecreated;timemodified
Wilkommen!;Herzlich Wilkommen im Uni Wiki und bei den Ersten Schritten! Die Ersten Schritte sollen als Orientierungshilfe für dein Studium dienen und dich durch die wichitgsten Inhalte des Studiums führen. Klicke "Weiter" um zum nächsten Schritt zu gelangen, "Zurück" um einen Schritt zurück zu gehen und "Überspringen", um den aktuellen Schritt zu überspringen.;1;0;1612623712;1612623712
Uni Wiki;Das Uni Wiki ist deine zentrale Anlaufstelle für alle wichtigen Information rund um das Studium und verlinkt die wichtigsten Inhalte. Wenn du deine Maus über eines der kleinen "i" bewegst, erscheint zudem eine kurzer Info-Text zu dem jeweiligen Inhalt. Probiere es gleich aus!;2;0;1612623712;1612623712
O-Woche;Die O-Woche oder Orientierungswoche ist deine offizielle Einführung in das universitäre Leben. Neben der Vermittlung von Informationen soll es im Rahmen der O-Woche vor allem um das Kennenlernen deiner zukünftigen Kommilitoninnen und Kommilitonen gehen. Suche im Uni Wiki den Link zur Webseite der Fachschaft und schaue auf der Internetseite nach, wann die O-Woche in diesem Semester stattfindet.;3;0;1612623712;1612623712
Module;Du möchtest schon einmal wissen, welche Module du im kommenden Semester belegen kannst und was diese beinhalten? Suche im Uni Wiki den Link zu den Modulhandbüchern heraus und schaue nach welche Module zur Auswahl stehen.;4;0;1612623712;1612623712
Preboarding-Phase abgeschlossen!;Herzlichen Glückwunsch! Du hast alle Steps der Preboarding-Phase erfolgreich abgeschlossen. Wenn du direkt mit den Schritt der Studienanfangsphase weiter machen möchtest, klicke auf "Weiter".;5;1;1612623712;1612623712
Erfahrungsberichte;Die besten Lernmethoden? Auslandssemester? Studierendeninitivativen? Fachschaft? Du hast noch Fragen und möchtest mehr über die verschiedenen Gestaltungsmöglichkeiten deines Studiums erfahren? Dann schaue dir auf jeden Fall die Erfahrungsberichte an!;6;0;1612623712;1612623712
