name;position;timecreated;timemodified
Module & Prüfungen;1;1612623712;1612623712
Weiterbildung;2;1612623712;1612623712
Freizeit;3;1612623712;1612623712
Jobs & Praktika;4;1612623712;1612623712
Sonstiges;5;1612623712;1612623712
Finanzen ;6;1612623712;1612623712
